,precision,recall,f1-score,support
L1 Stable,0.0,0.0,0.0,663.0
L2 Very Slow,0.0,0.0,0.0,2345.0
L3 Slow Active,0.39208700543783986,0.45006457167455877,0.4190800681431005,4646.0
L4 Moderately Active,0.45058406615041346,0.6175571145889549,0.5210198816208833,5559.0
L5 Rapid / Failure Risk,0.5587649402390438,0.6422438465941614,0.5976031957390147,1747.0
accuracy,0.44425133689839574,0.44425133689839574,0.44425133689839574,0.44425133689839574
macro avg,0.2802872023654594,0.341973106571535,0.3075406291005997,14960.0
weighted avg,0.35445156427753755,0.44425133689839574,0.3935433356603873,14960.0
