Metric,A1_mean,A1_sd,A2_mean,A2_sd,Diff_A2_minus_A1,Rel_change_pct,Median_diff_A1_minus_A2,CI95_lo,CI95_hi,Wilcoxon_W,Wilcoxon_p,MWU_p,ttest_p,Cliffs_delta
Total loss,86.03520011901855,9.225906192910745,50.5085015296936,7.76452318483637,-35.52669858932495,-41.29321317342014,38.20794868469238,28.86862564086914,41.16147041320801,0.0,3.0517578125e-05,1.5449101737495915e-06,5.51001479086123e-10,1.0
Value loss,174.3587378382683,18.368801584568967,104.37868341207503,15.822256009204219,-69.98005442619326,-40.135673894993076,71.74383773803712,57.57100143432618,80.43813695907595,0.0,3.0517578125e-05,1.5449101737495915e-06,2.7156463656257568e-12,1.0
Entropy loss,-0.3643742792773992,0.027128880467397067,-0.35277661068830635,0.04223935338476922,0.011597668589092835,3.182899905035146,-0.01956114638596773,-0.03165246658027171,0.013749155402183522,41.0,0.17535400390625,0.20674060673155448,0.1647892020843239,-0.265625
Explained variance,0.31729983165860176,0.03508403525256355,0.69286834821105,0.03958789294636581,0.3755685165524483,118.36391925872202,-0.37449872493743896,-0.39622753858566284,-0.34875452518463135,0.0,3.0517578125e-05,1.5449101737495915e-06,3.2014231380580643e-16,-1.0
Policy-gradient loss,-0.004478235996066306,0.0006626866122434768,-0.005397315785921762,0.0011734654247200391,-0.0009190797898554559,-20.523254930351545,0.0009460852743359001,0.00023711955000179936,0.0016740158462198,21.0,0.013092041015625,0.01219975527401323,0.012352899229194083,0.5234375
Approx. KL,0.00319465740625,0.0006421233104619179,0.00324563395625,0.0008185783043855674,5.097655000000029e-05,1.5956812740004676,6.093385000000007e-05,-0.0006815396000000003,0.0005167954999999998,68.0,1.0,0.46237974986725616,0.8319674452960192,-0.15625
Clip fraction,0.0274169921875,0.006152240409185003,0.0300262451171875,0.008964298871670634,0.0026092529296875,9.516918967052538,-0.0020751953125,-0.007226562500000002,0.004931640624999997,53.0,0.4637451171875,0.2999944706772245,0.3108805464195849,-0.21875
Episode reward,51.806875,4.428597548886103,50.84125,5.039748505630017,-0.9656249999999957,-1.8638935469471876,1.2800000000000011,-0.4200000000000017,1.8899999999999935,33.5,0.07438293306745791,0.6375611304257702,0.07417257298734198,0.1015625
