Metric,Approach,Plateau_mean,Conv_iter,Conv_timestep,Exp_asymptote,Exp_halflife_steps,Exp_R2,Spearman_rho,Spearman_p
Total loss,A1,86.03520011901855,,,80.47270344628231,2990.5045757757225,0.861824101470765,-0.0066217976552323055,0.9643716967654247
Total loss,A2,50.5085015296936,,,60.47737869397967,3355.6385283601476,0.9189614448286167,-0.8577941815023882,6.8496680945437066e-15
Value loss,A1,174.3587378382683,,,167.7898474856224,3547.3116881246833,0.8757144416447639,-0.2077724706904038,0.15646447085507045
Value loss,A2,104.37868341207503,,,126.60222500241582,3672.4278604555016,0.9265374271715636,-0.8918801563178462,1.836430855411323e-17
Entropy loss,A1,-0.3643742792773992,,,-0.22114778586086936,22285.15932939057,0.9900890232219913,0.9947894051237516,2.860323835112564e-47
Entropy loss,A2,-0.35277661068830635,,,-0.19516143759979016,23487.29969015825,0.9910012434528225,0.9891445940078158,5.779996227300058e-40
