Metric,Approach,Initial,early (it 2-17) mean,early (it 2-17) sd,mid (it 18-33) mean,mid (it 18-33) sd,late (it 34-49) mean,late (it 34-49) sd,Reduction_initial_to_late_%,Plateau_CV_%
Total loss,A1,333.4607238769531,123.89866971969604,94.61069299149301,81.06928849220276,11.069620654645114,86.03520011901855,9.225906192910745,74.19930025979146,10.723408767746108
Total loss,A2,333.0923767089844,115.15685272216797,77.7261182103788,65.51060676574707,8.74503376530545,50.5085015296936,7.76452318483637,84.836488295311,15.372705484583935
Value loss,A1,678.6943923950196,273.7426607728005,196.43696321279216,171.38993868231773,15.876374147409628,174.3587378382683,18.368801584568967,74.30968344633285,10.535062258598995
Value loss,A2,762.5560424804687,261.9393054485321,184.28212758897638,138.73258194327354,16.875281808999596,104.37868341207503,15.822256009204219,86.31199838472877,15.158512726913571
Entropy loss,A1,-1.6045258030295373,-1.2182968202512712,0.2813341068817196,-0.548649962968193,0.12144426635060379,-0.3643742792773992,0.027128880467397067,-77.29084327659818,7.445333551313531
Entropy loss,A2,-1.604422762989998,-1.222281377669424,0.26817722865556237,-0.5524800366722047,0.10823098468884544,-0.35277661068830635,0.04223935338476922,-78.0122409862303,11.97339962600002
