,precision,recall,f1-score,support
L1 Stable,0.0,0.0,0.0,663.0
L2 Very Slow,0.0,0.0,0.0,2345.0
L3 Slow Active,0.5796689084324883,0.9647008179078778,0.724188075618032,4646.0
L4 Moderately Active,0.9672951135051943,0.9044792228818133,0.9348331319141024,5559.0
L5 Rapid / Failure Risk,0.8527093596059113,0.9908414424728106,0.9166004765687054,1747.0
accuracy,0.751403743315508,0.751403743315508,0.751403743315508,0.751403743315508
macro avg,0.4799346763087188,0.5720042966525003,0.515124336820168,14960.0
weighted avg,0.6390386721780912,0.751403743315508,0.6793192655212167,14960.0
