longitude,latitude,rmse,mean_velocity,temporal_coherence,max_temporal_coherence,20230606,20230618,20230630,20230712,20230724,20230805,20230817,20230829,20230922,20231004,20231016,20231109,20231121,20231203,20231215,20231227,20240108,20240120,20240201,20240213,20240225,20240308,20240320,20240401,20240425,20240507,20240519,20240531,20240612,20240624,20240706,20240718,20240730,20240811,20240823,20240904,20240916,20240928,20241010,20241022,20241103,20241127,20241209,20241221,20250102,20250114,20250207,20250219,20250303,20250315,20250327,20250408,20250414,20250420,20250426,20250508,20250514,20250520,20250526,20250601,20250607,20250613,20250619,20250625,20250701,20250707,20250713,20250719,20250725,20250731,20250806,20250812,20250818,20250824,20250905,20250917,20250923,20250929,20251011,20251017,20251023,20251029,20251104,20251110,20251116
-8.27958332751996,40.2739076980863,0.0182,-5.5129,0.4991,0.9635,0,-0.3309,-5.4712,-5.2244,-6.7882,-1.5627,-4.6789,-6.5631,-5.9938,-6.3522,-6.3316,-13.6773,-15.8156,-13.6439,-17.5162,-14.6474,-16.7287,-14.2611,-14.4087,-15.1148,-12.2089,-13.6403,-15.3954,-14.1831,-11.3214,-12.9,-13.3505,-12.9493,-9.5632,-14.0615,-14.2454,-18.6111,-16.2281,-20.4436,-21.6143,-17.7848,-15.2349,-12.5139,-15.3101,-16.947,-12.1473,-9.1145,-7.2607,-15.6643,-18.0876,-18.1414,-18.9503,-22.167,-16.1792,-14.1896,-17.6449,-18.251,-13.1133,-10.655,-10.2297,-19.2418,-20.1608,-23.1182,-25.5839,-23.599,-19.5251,-19.6222,-22.6787,-18.9895,-23.8712,-23.2067,-27.27,-28.5371,-29.1937,-28.56,-31.494,-29.0272,-28.4364,-33.051,-35.4087,-37.4707,-39.0694,-38.9337,-37.6836,-36.9406,-35.2487,-39.4252,-42.6191,-43.1571,-38.7668
-8.27931383293473,40.2739076980863,0.0151,14.2355,0.6594,0.9966,0,-7.1534,-9.3636,-8.2379,-6.6272,-6.9601,-6.7361,-7.2262,-7.7762,-10.0929,-3.5289,-2.3507,-9.4111,-8.1391,-7.4504,-10.6771,-9.524,-12.6563,-11.1677,-12.244,-10.1293,-9.9495,-10.7971,-10.0978,-6.1581,-9.1621,-6.958,-6.3047,-6.6824,-4.6911,-10.7142,-5.8518,-10.5687,-12.9707,-8.1935,-4.1137,2.5549,4.9797,5.1275,6.4023,7.5374,12.0054,11.3021,2.3978,-1.0575,-0.2847,-5.1624,-6.8597,-1.5254,-7.5293,-10.1428,-6.3468,-7.7808,-4.8236,-4.9076,-5.1501,-8.1623,-7.9929,-9.5236,-9.0712,-10.2734,-10.3316,-11.9392,-15.8571,-15.9282,-15.9574,-16.0435,-17.8794,-15.9413,-13.737,-12.798,-12.3356,-14.2225,-11.8729,-18.1917,-17.2329,-21.6439,-21.2071,-21.8622,-22.1369,-19.3905,-21.1597,-20.021,-18.3285,-19.4271
-8.27904433834949,40.2739076980863,0.0177,-16.693,0.4794,0.9428,0,-3.5171,-2.7729,2.5997,2.5588,-1.6081,0.2168,3.7574,0.23,1.1461,-0.1605,2.7353,-2.0611,-0.8625,2.5087,-0.1067,-0.5323,4.0299,7.2711,7.1435,9.0735,7.8212,6.4208,5.3582,7.2728,6.354,7.4823,6.832,9.1304,11.6214,5.0753,9.9583,6.8408,8.2754,13.3339,13.4642,13.9629,11.1237,12.0115,13.1833,9.5895,10.1548,7.9602,7.0904,5.0185,4.5928,0.2238,2.3168,4.4227,4.3679,0.7439,5.4491,2.9843,5.2288,6.5515,7.3725,5.3235,5.8878,8.333,7.9764,3.7544,0.3147,-4.586,-11.6772,-12.7662,-12.3486,-14.6498,-14.5808,-15.7905,-12.4951,-9.8308,-15.4918,-15.9419,-16.6736,-21.6965,-20.2269,-18.8963,-18.9777,-17.9365,-20.0801,-22.1641,-23.4227,-20.8026,-20.2081,-22.2654
-8.27877484376426,40.2739076980863,0.0154,-7.0024,0.4284,0.8699,0,0.3442,-0.2979,-2.3655,-5.0661,-7.2156,-7.1658,-5.5797,-7.4503,-8.5094,-9.2822,-10.6101,-13.0109,-13.7835,-7.4847,-6.4121,-6.8489,-8.1938,-6.0112,-5.8955,-8.6959,-9.1677,-9.3816,-7.5298,-10.9153,-7.1182,-7.0255,-10.3631,-13.6073,-18.3125,-19.2285,-19.5035,-18.273,-18.1681,-16.2207,-13.9854,-14.1955,-14.2048,-16.2778,-21.7491,-19.3672,-21.0515,-19.3902,-18.9697,-17.61,-17.6273,-20.4209,-21.2895,-26.8512,-21.4645,-20.2576,-23.1401,-25.0679,-23.347,-24.4907,-25.1149,-23.1251,-20.8284,-21.8563,-24.6138,-24.754,-25.5813,-25.4808,-27.5439,-26.7804,-26.9222,-25.7395,-28.4956,-25.1635,-28.9215,-29.8809,-31.7597,-28.2294,-33.0712,-29.9139,-30.3046,-27.9911,-26.244,-27.2146,-27.7627,-29.0839,-29.0883,-26.3343,-27.0499,-28.5994
-8.27850534917902,40.2739076980863,0.0155,3.5442,0.4383,0.8563,0,1.0495,0.2495,-1.4958,-2.5942,-2.6532,-3.2179,-1.4806,-5.1481,-4.6317,-5.5793,-1.3356,3.2715,1.9808,0.2392,0.4817,3.359,1.8988,-1.2888,-1.2941,1.2685,1.7032,-2.0481,-0.209,-1.3073,-1.5271,-3.4702,-4.7477,-3.886,-4.9049,-5.383,-6.3297,-7.4977,-5.8099,-6.6745,-7.4828,-5.3172,-8.5043,-5.9254,-9.1376,-7.3709,-11.5132,-10.4626,-8.9715,-12.8525,-12.2008,-7.2908,-7.787,-12.1881,-8.069,-10.2763,-10.4935,-12.5061,-12.2367,-13.4472,-13.8204,-11.191,-14.0765,-16.6724,-18.7841,-17.5457,-22.0041,-22.3045,-22.0846,-21.6765,-18.0975,-20.9049,-16.7578,-19.9444,-19.3682,-21.7345,-19.7006,-20.1582,-19.4932,-19.604,-23.8449,-22.1802,-25.01,-22.8755,-23.4636,-23.2054,-24.7096,-25.9477,-25.7598,-25.4167
-8.28120029503138,40.2741133121161,0.0139,-30.0232,0.5329,0.9235,0,5.4619,-0.5781,-0.6002,-3.8889,-1.9687,-5.2132,-3.3869,-1.333,-3.4087,-2.1492,-0.9598,-3.385,-4.3585,-4.6161,-3.2023,-2.9825,-0.7696,-5.8765,-4.3459,-3.9687,-3.7091,-3.2259,-1.8402,-3.2089,-5.7036,-7.3233,-8.3749,-10.512,-11.4344,-15.6577,-16.649,-17.6353,-17.7939,-16.2857,-13.2712,-18.923,-17.8872,-17.606,-11.0199,-14.4605,-15.4832,-17.6336,-26.161,-28.7698,-25.316,-25.2803,-32.6976,-25.6227,-24.4227,-25.6851,-26.1778,-26.4161,-25.6023,-24.9299,-32.9885,-29.7623,-28.2991,-29.0384,-27.2858,-24.4947,-23.6971,-22.7666,-21.7717,-22.1869,-19.7165,-20.1242,-22.7848,-21.8069,-23.4988,-24.236,-24.8496,-27.8196,-32.0864,-34.9402,-34.5908,-36.4465,-33.4616,-29.4213,-26.5098,-32.238,-30.9237,-26.8403,-25.0725,-30.3781
-8.28093080044614,40.2741133121161,0.0149,11.6749,0.4435,0.89,0,-0.4985,-1.3381,-2.6022,-3.0282,0.6829,-1.2133,-3.8949,-8.3041,-6.3545,-8.0791,-7.6123,-4.4802,-5.1731,1.3205,0.4229,0.9755,0.9247,0.4726,-0.9099,0.6391,3.8727,3.5601,3.6276,3.1861,2.3076,0.6711,0.7015,4.391,4.2128,-2.8634,-1.3317,-4.4568,-4.969,-9.8331,-8.3032,-2.4717,-2.8662,-4.5306,-0.9314,1.9286,5.711,2.1378,4.3138,9.4837,5.5312,4.5438,2.0209,5.3926,5.8885,1.11,3.1845,3.0287,3.0486,2.7978,4.9147,6.5257,4.4797,6.8833,7.7303,9.8441,8.0985,7.8568,5.7673,6.9161,4.0837,6.4844,4.1373,3.6379,1.663,4.8333,2.4238,6.3643,1.6462,-6.5057,-3.9402,-2.9259,-4.705,-7.0306,-5.4215,-5.4619,-1.8307,-3.9017,-2.6507,-5.0779
-8.28066130586091,40.2741133121161,0.0144,1.0068,0.4446,0.8485,0,-1.1396,-0.4759,-0.6572,-0.5473,0.6507,-0.6817,-1.8049,-5.9155,-6.9869,-6.5866,-5.0161,-6.3304,-7.8515,-2.7882,-3.027,-0.6811,-2.0495,1.1496,-1.6236,-3.905,-5.9516,-5.7033,-3.1842,0.0629,-3.1111,-4.3641,-4.1535,0.6165,0.6123,-5.1494,-3.6772,-8.6606,-7.8785,-9.804,-13.3503,-7.3775,-5.1095,-6.2528,-6.2422,-4.9227,2.1056,1.5365,-3.1832,-1.9075,-3.6962,-3.7441,-3.9834,-3.7466,-2.5443,-2.9026,-3.8712,-3.8858,-3.6757,-3.2912,-3.0742,2.8632,-0.7126,-4.0791,-2.2099,-1.1356,-2.9583,-3.7347,-5.1088,-10.3066,-10.2832,-10.6149,-9.5551,-9.517,-10.9467,-11.011,-14.7826,-11.6153,-13.5361,-16.8995,-15.9921,-16.8635,-17.9461,-19.5651,-17.7173,-16.8567,-15.4317,-19.0238,-18.5063,-18.5296
-8.28039181127567,40.2741133121161,0.0127,-23.981,0.4883,0.9392,0,-2.7777,-3.426,-9.6568,-9.486,-8.6127,-10.7173,-9.4926,-12.5766,-14.565,-16.8474,-13.1056,-14.4332,-9.8746,-12.232,-13.8431,-14.5214,-14.3595,-16.6454,-15.9593,-14.9074,-22.8423,-23.0923,-22.282,-18.7488,-21.4099,-20.6965,-21.6224,-19.9091,-15.3469,-21.2754,-23.8809,-23.331,-23.7153,-26.4609,-30.0291,-31.2508,-31.9785,-32.1868,-32.3496,-33.5051,-32.9691,-31.6995,-35.8415,-34.8046,-34.7795,-36.828,-38.7044,-38.0637,-39.5389,-40.6761,-41.8357,-40.8784,-41.4049,-41.5262,-39.1281,-36.4632,-34.5549,-34.2906,-36.4715,-37.1628,-37.2077,-36.6738,-40.5819,-41.3491,-39.8942,-42.6542,-40.5573,-42.63,-43.5842,-44.819,-46.9872,-44.4864,-44.6908,-42.7321,-46.0623,-48.0512,-49.0406,-48.9728,-50.6701,-46.6148,-45.8172,-41.5791,-40.8766,-41.762
