experiment,approach,reward,episode_mode,gamma,timesteps,level5_recall,missed_level5,total_level5,accuracy,precision_weighted,recall_weighted,f1_weighted,macro_f1,mean_reward_per_step,accel_escalate_thr_mm_yr
approach1_insar_only,1,initial,sequential,0.99,100000,0.6422438465941614,625,1747,0.44425133689839574,0.35445156427753755,0.44425133689839574,0.3935433356603873,0.3075406291005997,1.2957218885421753,215.62792468750015
approach2_with_rainfall,2,initial,sequential,0.99,100000,0.6033199771036062,693,1747,0.4329545454545455,0.4047610494865885,0.4329545454545455,0.3777363079921779,0.29556669193641505,1.2564839124679565,215.62792468750015
approach3_improved,3,safety_tuned,balanced,0.35,300000,0.9908414424728106,16,1747,0.751403743315508,0.6390386721780912,0.751403743315508,0.6793192655212167,0.515124336820168,4.274331569671631,215.62792468750015
