,precision,recall,f1-score,support
L1 Stable,0.0,0.0,0.0,663.0
L2 Very Slow,0.3893805309734513,0.018763326226012792,0.03580146460537022,2345.0
L3 Slow Active,0.4,0.31295738269479123,0.3511653181982852,4646.0
L4 Moderately Active,0.4273736933797909,0.7060622414103256,0.5324560808519297,5559.0
L5 Rapid / Failure Risk,0.519723865877712,0.6033199771036062,0.55841059602649,1747.0
accuracy,0.4329545454545455,0.4329545454545455,0.4329545454545455,0.4329545454545455
macro avg,0.34729561804619086,0.32822058548694716,0.29556669193641505,14960.0
weighted avg,0.4047610494865885,0.4329545454545455,0.3777363079921779,14960.0
